neighborhood,rec_id,year,population
Blenman-Elm,BLACK,2019,83
Blenman-Elm,AMERIND,2019,61
Blenman-Elm,ASIAN,2019,217
Blenman-Elm,PACIFIC,2019,8
Blenman-Elm,OTHRACE,2019,197
Blenman-Elm,RACE2UP,2019,146
Blenman-Elm,HISPPOP,2019,647
Blenman-Elm,MINORITY,2019,1072
Blenman-Elm,WHITE,2010,2551
Blenman-Elm,BLACK,2010,71
Blenman-Elm,AMERIND,2010,50
Blenman-Elm,ASIAN,2010,172
Blenman-Elm,PACIFIC,2010,7
Blenman-Elm,OTHRACE,2010,156
Blenman-Elm,RACE2UP,2010,118
Blenman-Elm,HISPPOP,2010,516
Blenman-Elm,MINORITY,2010,864
Blenman-Elm,DIVINDX,2010,51.5
Blenman-Elm,HISPWHT,2019,360
Blenman-Elm,HISPBLK,2019,13
Blenman-Elm,HISPAI,2019,31
Blenman-Elm,HISPASN,2019,4
Blenman-Elm,HISPPI,2019,0
Blenman-Elm,HISPOTH,2019,189
Blenman-Elm,HISPMLT,2019,50
Blenman-Elm,HWHITE,2010,290
Blenman-Elm,HBLACK,2010,11
Blenman-Elm,HAMERIND,2010,24
Blenman-Elm,HASIAN,2010,4
Blenman-Elm,HPACIFIC,2010,0
Blenman-Elm,HOTHRACE,2010,148
Blenman-Elm,HRACE2UP,2010,40
Blenman-Elm,HRACEBAS,2010,517
Blenman-Elm,H1RACE,2010,476
Blenman-Elm,HADRBASE,2010,377
Blenman-Elm,HAD1RACE,2010,349
Blenman-Elm,U18RBASE,2010,459
Blenman-Elm,NONHISP,2019,2586
Broadmoor-Broadway,WHITE,2019,685
Broadmoor-Broadway,BLACK,2019,18
Broadmoor-Broadway,AMERIND,2019,21
Broadmoor-Broadway,ASIAN,2019,26
Broadmoor-Broadway,PACIFIC,2019,0
Broadmoor-Broadway,OTHRACE,2019,93
Broadmoor-Broadway,RACE2UP,2019,32
Broadmoor-Broadway,HISPPOP,2019,324
Broadmoor-Broadway,MINORITY,2019,388
Broadmoor-Broadway,WHITE,2010,691
Broadmoor-Broadway,BLACK,2010,16
Broadmoor-Broadway,AMERIND,2010,18
Broadmoor-Broadway,ASIAN,2010,21
Broadmoor-Broadway,PACIFIC,2010,0
Broadmoor-Broadway,OTHRACE,2010,74
Broadmoor-Broadway,RACE2UP,2010,27
Broadmoor-Broadway,HISPPOP,2010,266
Broadmoor-Broadway,MINORITY,2010,319
Broadmoor-Broadway,DIVINDX,2010,62
Broadmoor-Broadway,HISPWHT,2019,199
Broadmoor-Broadway,HISPBLK,2019,1
Broadmoor-Broadway,HISPAI,2019,11
Broadmoor-Broadway,HISPASN,2019,2
Broadmoor-Broadway,HISPPI,2019,0
Broadmoor-Broadway,HISPOTH,2019,93
Broadmoor-Broadway,HISPMLT,2019,19
Broadmoor-Broadway,HWHITE,2010,164
Broadmoor-Broadway,HBLACK,2010,1
Broadmoor-Broadway,HAMERIND,2010,9
Broadmoor-Broadway,HASIAN,2010,2
Broadmoor-Broadway,HPACIFIC,2010,0
